timestamp,cpu_percent,memory_percent,memory_used_mb,update_count,total_data_mb
1759073675.4664447,12.0,10.0,6430.3515625,1372,5024.4140625
1759073675.9675126,13.8,10.0,6425.08203125,1396,5112.3046875
1759073676.4685853,17.5,10.0,6413.90625,1420,5200.1953125
1759073676.9694467,16.0,10.0,6426.76953125,1444,5288.0859375
1759073677.4703817,11.3,10.0,6416.6328125,1469,5379.638671875
1759073677.9714005,11.9,10.0,6426.31640625,1491,5460.205078125
1759073678.4723983,15.0,10.0,6428.12109375,1517,5555.419921875
1759073678.9733112,14.3,10.0,6423.36328125,1540,5639.6484375
1759073679.4742513,13.8,10.0,6444.5390625,1564,5727.5390625
1759073679.9752052,11.3,10.0,6442.171875,1588,5815.4296875
1759073680.476246,12.2,10.0,6422.38671875,1612,5903.3203125
1759073680.977172,13.0,10.0,6429.54296875,1637,5994.873046875
1759073681.477571,12.5,10.0,6417.37109375,1659,6075.439453125
1759073681.9783978,14.2,10.0,6415.2734375,1685,6170.654296875
1759073682.4793305,13.2,10.0,6422.2734375,1708,6254.8828125
1759073682.9802325,12.0,10.0,6424.2265625,1732,6342.7734375
1759073683.4811633,13.2,10.0,6425.2109375,1756,6430.6640625
1759073683.9816568,12.0,10.0,6420.93359375,1780,6518.5546875
1759073684.4826725,12.4,10.0,6427.41796875,1805,6610.107421875
1759073684.9835181,15.1,10.0,6433.9609375,1827,6690.673828125
1759073685.4844773,14.0,10.0,6439.0625,1852,6782.2265625
1759073685.9855134,14.7,10.0,6425.16796875,1876,6870.1171875
1759073686.4862132,16.7,10.0,6428.17578125,1900,6958.0078125
1759073686.9868865,16.1,10.0,6429.7265625,1924,7045.8984375
1759073687.4878983,13.2,10.1,6453.6953125,1948,7133.7890625
1759073687.9888175,13.3,10.0,6432.65234375,1973,7225.341796875
1759073688.4896655,12.7,10.0,6414.65234375,1995,7305.908203125
1759073688.990585,12.4,10.0,6428.546875,2020,7397.4609375
1759073689.4915638,11.5,10.0,6420.5703125,2044,7485.3515625
1759073689.9924486,13.4,10.0,6434.87890625,2068,7573.2421875
1759073690.4934475,14.2,10.0,6420.77734375,2092,7661.1328125
1759073690.9943883,13.9,10.0,6434.62890625,2116,7749.0234375
1759073691.4950728,13.7,10.0,6421.23046875,2141,7840.576171875
1759073691.996011,12.7,10.0,6432.83984375,2163,7921.142578125
1759073692.4969916,12.5,10.0,6425.70703125,2188,8012.6953125
1759073692.9977133,14.2,10.0,6416.15625,2212,8100.5859375
1759073693.4985669,11.3,10.0,6427.45703125,2236,8188.4765625
1759073693.9995015,13.5,10.0,6417.26953125,2260,8276.3671875
1759073694.5000436,14.6,10.0,6419.95703125,2283,8360.595703125
1759073695.000976,15.0,10.0,6412.2578125,2309,8455.810546875
1759073695.5016105,12.7,10.0,6424.19140625,2331,8536.376953125
1759073696.0024893,15.2,10.0,6416.640625,2356,8627.9296875
1759073696.503618,12.5,10.0,6424.42578125,2379,8712.158203125
1759073697.0047035,11.8,10.0,6413.5078125,2403,8800.048828125
1759073697.5056334,15.0,10.0,6420.4765625,2428,8891.6015625
1759073698.0066416,16.0,10.0,6425.3203125,2450,8972.16796875
1759073698.5075758,17.5,10.0,6419.3984375,2477,9071.044921875
1759073699.0084941,12.2,10.0,6425.3046875,2499,9151.611328125
1759073699.5094967,12.4,10.0,6430.85546875,2524,9243.1640625
1759073700.0103896,11.0,10.0,6434.97265625,2547,9327.392578125
1759073700.5112567,12.6,10.0,6431.18359375,2572,9418.9453125
1759073701.012199,11.1,10.0,6420.234375,2596,9506.8359375
1759073701.5132878,13.3,10.0,6430.31640625,2618,9587.40234375
1759073702.0142133,14.6,10.0,6442.33984375,2645,9686.279296875
1759073702.515267,14.0,10.0,6423.95703125,2667,9766.845703125
1759073703.0161543,13.7,10.0,6424.29296875,2692,9858.3984375
1759073703.5170648,13.2,10.0,6412.2890625,2715,9942.626953125
1759073704.0176926,11.8,10.0,6415.1875,2740,10034.1796875
1759073704.5185852,14.7,10.0,6419.703125,2764,10122.0703125
1759073705.0196323,15.6,10.0,6422.23828125,2786,10202.63671875
1759073705.5205388,15.9,10.0,6428.71484375,2813,10301.513671875
1759073706.0214512,13.8,10.0,6424.265625,2835,10382.080078125
1759073706.5224414,12.8,10.0,6402.0859375,2860,10473.6328125
1759073707.023429,13.8,10.0,6409.14453125,2883,10557.861328125
1759073707.5244737,13.9,10.0,6424.76953125,2907,10645.751953125
1759073708.025359,12.6,10.0,6411.640625,2932,10737.3046875
1759073708.5263193,13.2,10.0,6411.3125,2954,10817.87109375
1759073709.0272858,16.8,10.0,6432.06640625,2981,10916.748046875
1759073709.5283723,13.3,10.0,6428.15234375,3003,10997.314453125
1759073710.0294504,15.9,10.0,6425.49609375,3028,11088.8671875
1759073710.5302439,12.6,10.0,6410.80078125,3051,11173.095703125
1759073711.0313678,12.8,10.0,6414.57421875,3074,11257.32421875
1759073711.53235,12.5,10.0,6411.1015625,3100,11352.5390625
1759073712.0333602,13.8,10.0,6410.29296875,3122,11433.10546875
1759073712.534364,13.4,10.0,6423.09375,3149,11531.982421875
1759073713.0352435,9.9,10.0,6422.86328125,3171,11612.548828125
1759073713.5361392,11.4,10.0,6429.08984375,3196,11704.1015625
1759073714.037155,14.3,10.0,6423.90234375,3219,11788.330078125
1759073714.537628,12.6,10.0,6411.0390625,3243,11876.220703125
1759073715.038345,13.8,10.0,6410.921875,3268,11967.7734375
1759073715.5392556,13.5,10.0,6414.734375,3290,12048.33984375
1759073716.0403132,14.4,10.0,6408.69921875,3316,12143.5546875
1759073716.5412261,12.6,10.0,6419.38671875,3339,12227.783203125
1759073717.042149,14.1,10.0,6428.96484375,3364,12319.3359375
1759073717.5431213,13.8,10.0,6407.25390625,3387,12403.564453125
1759073718.0441873,11.7,10.0,6416.35546875,3412,12495.1171875
1759073718.5450964,12.8,10.0,6424.73828125,3436,12583.0078125
1759073719.04567,12.8,10.0,6424.3984375,3458,12663.57421875
1759073719.546849,14.6,10.0,6425.75,3484,12758.7890625
1759073720.0478184,12.1,10.0,6423.99609375,3507,12843.017578125
1759073720.548452,13.5,10.0,6424.7109375,3531,12930.908203125
1759073721.0494494,14.1,10.0,6419.13671875,3555,13018.798828125
1759073721.5503607,11.9,10.0,6422.83203125,3579,13106.689453125
1759073722.051378,11.3,10.0,6413.140625,3604,13198.2421875
1759073722.5522878,15.6,10.0,6419.8984375,3626,13278.80859375
1759073723.053327,14.2,10.0,6407.140625,3652,13374.0234375
1759073723.5542202,12.4,10.0,6429.765625,3675,13458.251953125
1759073724.0549655,13.3,10.0,6412.94921875,3700,13549.8046875
1759073724.5556483,12.6,10.0,6413.76953125,3723,13634.033203125
1759073725.0566442,14.3,10.0,6425.515625,3746,13718.26171875
1759073725.5575762,14.3,10.0,6428.90234375,3772,13813.4765625
1759073726.0585701,13.9,10.0,6415.42578125,3794,13894.04296875
1759073726.5595086,14.9,10.0,6416.9921875,3820,13989.2578125
1759073727.0603366,12.3,10.0,6423.65625,3843,14073.486328125
1759073727.561291,14.5,10.0,6436.1484375,3868,14165.0390625
1759073728.062226,12.8,10.0,6414.30859375,3891,14249.267578125
1759073728.563217,11.9,10.0,6417.15625,3915,14337.158203125
1759073729.0641506,14.0,10.0,6419.6171875,3940,14428.7109375
1759073729.5651474,12.8,10.0,6419.00390625,3962,14509.27734375
1759073730.0656059,14.9,10.0,6419.734375,3988,14604.4921875
1759073730.566521,13.5,10.0,6428.78515625,4011,14688.720703125
1759073731.0674088,13.7,10.0,6410.1328125,4035,14776.611328125
1759073731.568351,11.1,10.0,6413.5078125,4059,14864.501953125
1759073732.0694058,13.5,10.0,6406.81640625,4082,14948.73046875
1759073732.5701537,13.9,10.0,6436.71875,4108,15043.9453125
1759073733.0710878,14.2,10.0,6425.94921875,4130,15124.51171875
1759073733.5720942,14.6,10.0,6428.26953125,4155,15216.064453125
1759073734.0730898,14.1,10.0,6423.10546875,4179,15303.955078125
1759073734.573668,14.8,10.0,6423.91796875,4203,15391.845703125
1759073735.074709,15.7,10.0,6424.25390625,4227,15479.736328125
1759073735.575637,13.9,10.0,6427.25390625,4250,15563.96484375
1759073736.0765026,13.2,10.0,6411.44921875,4276,15659.1796875
1759073736.5774024,12.7,10.0,6424.609375,4298,15739.74609375
1759073737.0783496,15.8,10.0,6413.765625,4323,15831.298828125
1759073737.5793371,13.1,10.0,6427.7578125,4347,15919.189453125
1759073738.0802343,13.0,10.0,6420.35546875,4371,16007.080078125
1759073738.5806642,16.3,10.0,6410.08203125,4395,16094.970703125
1759073739.0816572,13.3,10.0,6430.99609375,4418,16179.19921875
1759073739.582543,14.7,10.0,6408.5859375,4444,16274.4140625
1759073740.0836656,14.0,10.0,6419.03515625,4466,16354.98046875
1759073740.5847235,13.2,10.0,6416.33984375,4491,16446.533203125
1759073741.08563,14.1,10.0,6436.82421875,4515,16534.423828125
1759073741.5865188,13.8,10.0,6430.71875,4539,16622.314453125
1759073742.0874677,13.3,10.0,6413.60546875,4563,16710.205078125
1759073742.5880597,13.6,10.0,6419.546875,4586,16794.43359375
1759073743.0889523,14.5,10.0,6416.85546875,4612,16889.6484375
1759073743.5896173,11.0,10.0,6427.34765625,4634,16970.21484375
1759073744.090486,12.2,10.0,6432.4609375,4659,17061.767578125
1759073744.591135,12.7,10.0,6436.34375,4682,17145.99609375
1759073745.0921981,14.5,10.0,6416.625,4707,17237.548828125
1759073745.5931435,16.2,10.0,6441.75390625,4731,17325.439453125
1759073746.0938385,14.3,10.0,6435.9375,4753,17406.005859375
1759073746.5945745,11.5,10.0,6404.3359375,4779,17501.220703125
1759073747.0954902,11.3,10.0,6418.78515625,4801,17581.787109375
1759073747.5963993,12.5,10.0,6423.30078125,4826,17673.33984375
1759073748.0973067,12.0,10.0,6430.9375,4850,17761.23046875
1759073748.5983546,14.6,10.0,6428.2890625,4873,17845.458984375
1759073749.0991895,10.1,10.0,6430.95703125,4899,17940.673828125
1759073749.6000898,18.6,10.0,6432.18359375,4921,18021.240234375
1759073750.101037,15.6,10.0,6425.703125,4947,18116.455078125
1759073750.6018844,12.4,10.0,6434.86328125,4969,18197.021484375
1759073751.102952,13.3,10.0,6421.40234375,4994,18288.57421875
1759073751.6040568,13.7,10.0,6436.64453125,5018,18376.46484375
1759073752.1049118,12.5,10.0,6411.9921875,5041,18460.693359375
1759073752.605566,12.1,10.0,6425.765625,5067,18555.908203125
1759073753.1064496,11.8,10.0,6418.79296875,5089,18636.474609375
1759073753.6072483,13.8,10.0,6423.43359375,5115,18731.689453125
1759073754.108255,11.2,10.0,6414.65625,5137,18812.255859375
1759073754.608815,12.2,10.0,6411.125,5162,18903.80859375
1759073755.1096098,14.2,10.0,6426.90625,5186,18991.69921875
1759073755.6104858,12.0,10.0,6416.4375,5209,19075.927734375
1759073756.1113708,12.8,10.0,6428.51953125,5235,19171.142578125
1759073756.6119409,13.3,10.0,6416.30078125,5257,19251.708984375
1759073757.112524,12.5,10.0,6415.67578125,5282,19343.26171875
1759073757.613916,12.2,10.0,6423.28515625,5305,19427.490234375
1759073758.114995,15.1,10.0,6436.08984375,5330,19519.04296875
1759073758.6160367,13.7,10.0,6422.69140625,5354,19606.93359375
1759073759.1171863,13.0,10.0,6423.03125,5377,19691.162109375
1759073759.6177275,13.8,10.0,6412.86328125,5403,19786.376953125
1759073760.1186433,11.8,10.0,6429.36328125,5425,19866.943359375
1759073760.6194365,17.2,10.0,6416.0234375,5451,19962.158203125
1759073761.1203876,12.0,10.0,6414.58984375,5473,20042.724609375
1759073761.6212797,12.6,10.0,6422.5078125,5498,20134.27734375
1759073762.1223233,11.5,10.0,6415.796875,5522,20222.16796875
1759073762.6231918,11.8,10.0,6414.83984375,5545,20306.396484375
1759073763.1241462,12.4,10.0,6432.4140625,5571,20401.611328125
1759073763.6246412,12.4,10.0,6409.0703125,5593,20482.177734375
1759073764.126034,14.0,10.0,6409.640625,5619,20577.392578125
1759073764.6270425,13.4,10.0,6447.765625,5641,20657.958984375
1759073765.1278036,13.2,10.0,6441.12890625,5666,20749.51171875
1759073765.628651,12.7,10.0,6421.62890625,5690,20837.40234375
1759073766.129603,11.4,10.0,6412.82421875,5713,20921.630859375
1759073766.6304438,11.4,10.0,6414.6015625,5739,21016.845703125
